policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.031178524407247703,0.03037109828243653,0.03198425636898416,24
random,4,0.06222158887734016,0.06126795195353528,0.0632008864195086,24
random,8,0.12497004959732294,0.12366293813101947,0.12635576627217232,24
random,12,0.18712659428517023,0.18561905349294344,0.18863939098082483,24
random,16,0.24933304078876972,0.2473670706152916,0.2513141173093269,24
training_popularity,2,0.15848441670338312,0.1529246967751533,0.16400620917168757,24
training_popularity,4,0.26037127152085304,0.25229268370506663,0.26896248768704634,24
training_popularity,8,0.4030672026177247,0.3836443101366361,0.4237711826339364,24
training_popularity,12,0.5027901940047741,0.4748703822803994,0.530733581352979,24
training_popularity,16,0.5823592183490595,0.5546839877342185,0.6128504861767092,24
previous_layer_routes,2,0.034257225692272186,0.032864269552131495,0.03552451579404684,24
previous_layer_routes,4,0.06670453445985913,0.06552146957643952,0.06777419911619897,24
previous_layer_routes,8,0.13204742191980282,0.1298423448810354,0.13415428961937628,24
previous_layer_routes,12,0.38214454303185147,0.37223206392178937,0.39189571530247724,24
previous_layer_routes,16,0.5094481930136681,0.4883428632902602,0.531716156254212,24
learned,2,0.2317745660742124,0.22952004343581695,0.23390533009854456,24
learned,4,0.440009040137132,0.4336543137828509,0.4457993687130511,24
learned,8,0.739936076104641,0.7259563093384107,0.7537878967821598,24
learned,12,0.8518189887205759,0.839480422437191,0.8638544959326585,24
learned,16,0.9014671494563421,0.8918187915037076,0.9109271527578433,24
oracle,2,0.25,0.25,0.25,24
oracle,4,0.5,0.5,0.5,24
oracle,8,1.0,1.0,1.0,24
oracle,12,1.0,1.0,1.0,24
oracle,16,1.0,1.0,1.0,24
