policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.0315342804727455,0.030816960614174604,0.032306050553840275,24
random,4,0.0626851012930274,0.061562995406954236,0.06381173124536871,24
random,8,0.12481323629617691,0.12335842094228913,0.12626814250834287,24
random,12,0.18719571207960448,0.18571978324713806,0.1886617125167201,24
random,16,0.24936693285902342,0.24770896125895284,0.2511104080826044,24
training_popularity,2,0.16342485323548317,0.1577169895948221,0.16871863979225357,24
training_popularity,4,0.2674396677563588,0.2577507868409157,0.27637087845553954,24
training_popularity,8,0.4115159387389819,0.39096362569058934,0.43288456288476784,24
training_popularity,12,0.5115576547880968,0.4808035034686327,0.5415254011750221,24
training_popularity,16,0.5913829505443573,0.5599469196672241,0.6224825929850341,24
previous_layer_routes,2,0.030915849686910708,0.030059774435358122,0.03171788514591753,24
previous_layer_routes,4,0.06086181399102012,0.059772484897015,0.061878592687814184,24
previous_layer_routes,8,0.12242817133665085,0.1203740979389598,0.12443835922361662,24
previous_layer_routes,12,0.3828689629832904,0.3731336258662244,0.39324633634338774,24
previous_layer_routes,16,0.513611190021038,0.49071024519701795,0.5359787286569675,24
learned,2,0.236625075340271,0.2341910590107242,0.2388737382988135,24
learned,4,0.4518957423667113,0.4457927888880173,0.4575635227995614,24
learned,8,0.7624564369519552,0.7493050000319879,0.7766084754218657,24
learned,12,0.8738967627286911,0.8612963637337089,0.8866502448295553,24
learned,16,0.920019693672657,0.9115340422838927,0.9291873413448533,24
oracle,2,0.25,0.25,0.25,24
oracle,4,0.5,0.5,0.5,24
oracle,8,1.0,1.0,1.0,24
oracle,12,1.0,1.0,1.0,24
oracle,16,1.0,1.0,1.0,24
