policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.0315342804727455,0.030816960614174604,0.032306050553840275,24
random,4,0.0626851012930274,0.061562995406954236,0.06381173124536871,24
random,8,0.12481323629617691,0.12335842094228913,0.12626814250834287,24
random,12,0.18719571207960448,0.18571978324713806,0.1886617125167201,24
random,16,0.24936693285902342,0.24770896125895284,0.2511104080826044,24
training_popularity,2,0.16342485323548317,0.1577169895948221,0.16871863979225357,24
training_popularity,4,0.2674396677563588,0.2577507868409157,0.27637087845553954,24
training_popularity,8,0.4115159387389819,0.39096362569058934,0.43288456288476784,24
training_popularity,12,0.5115576547880968,0.4808035034686327,0.5415254011750221,24
training_popularity,16,0.5913829505443573,0.5599469196672241,0.6224825929850341,24
previous_layer_routes,2,0.030915849686910708,0.030059774435358122,0.03171788514591753,24
previous_layer_routes,4,0.06086181399102012,0.059772484897015,0.061878592687814184,24
previous_layer_routes,8,0.12242817133665085,0.1203740979389598,0.12443835922361662,24
previous_layer_routes,12,0.3828689629832904,0.3731336258662244,0.39324633634338774,24
previous_layer_routes,16,0.513611190021038,0.49071024519701795,0.5359787286569675,24
learned,2,0.23965937830507755,0.23792181328559914,0.24124200254057845,24
learned,4,0.45937546342611313,0.45451637118433913,0.46392828117435175,24
learned,8,0.7764439483483633,0.7645461785296599,0.7889765588566661,24
learned,12,0.8865907068053881,0.8756525311619043,0.8973706987996896,24
learned,16,0.9294862672686577,0.9216806687414647,0.9376510653644801,24
oracle,2,0.25,0.25,0.25,24
oracle,4,0.5,0.5,0.5,24
oracle,8,1.0,1.0,1.0,24
oracle,12,1.0,1.0,1.0,24
oracle,16,1.0,1.0,1.0,24
