policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.03121434636414051,0.03080346265497307,0.031636977912082025,60
random,4,0.06224497718115648,0.06180437597446144,0.06270950639930864,60
random,8,0.12463616542518138,0.1238805684571465,0.12545920964951315,60
random,12,0.18740118071436881,0.18644246678178508,0.18827883393814165,60
random,16,0.25022561053435005,0.24922706969082356,0.25125736818959316,60
training_popularity,2,0.16092584232489268,0.15779067267353336,0.16400037322814268,60
training_popularity,4,0.261782751729091,0.2547830264146129,0.26886606827999154,60
training_popularity,8,0.4022042840719223,0.3891057463859518,0.4151654992252588,60
training_popularity,12,0.4979766259590785,0.4815997741247217,0.5144000353539984,60
training_popularity,16,0.5765008926391602,0.5576958252117038,0.594517605068783,60
previous_layer_routes,2,0.031069059483706953,0.030526344700871656,0.03162284161740293,60
previous_layer_routes,4,0.060641974210739136,0.05982420423999429,0.06150364265156289,60
previous_layer_routes,8,0.12169700289765993,0.12023970276427766,0.1231345995919158,60
previous_layer_routes,12,0.3753686224420865,0.36775203893582026,0.3829563826819261,60
previous_layer_routes,16,0.5027666583657264,0.4891288476064801,0.5170905530452728,60
learned,2,0.24124097128709157,0.24013522697612644,0.24228662299613157,60
learned,4,0.46583490520715715,0.462381240054965,0.46897232764710983,60
learned,8,0.7958726306756337,0.7873938625554244,0.8043866198261579,60
learned,12,0.9032162159681321,0.896022811755538,0.909990594536066,60
learned,16,0.9437726388374964,0.9387104676167171,0.9485412758092086,60
oracle,2,0.25,0.25,0.25,60
oracle,4,0.5,0.5,0.5,60
oracle,8,1.0,1.0,1.0,60
oracle,12,1.0,1.0,1.0,60
oracle,16,1.0,1.0,1.0,60
