policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.007845535214679936,0.007720422736989955,0.007981893646744235,24
random,4,0.01569950518508752,0.015445027788518927,0.015959711028457,24
random,8,0.031448211831351124,0.03101376222912222,0.03194307378532055,24
random,12,0.04709710987905661,0.04662618133782719,0.04760887595281626,24
random,16,0.06267993819589417,0.06208238574909047,0.06324508839364473,24
training_popularity,2,0.08228182590877016,0.07241196366182219,0.09163454489704842,24
training_popularity,4,0.134036211296916,0.1221348885136346,0.14542921064421532,24
training_popularity,8,0.21163405353824297,0.19694939881252746,0.22527313994554182,24
training_popularity,12,0.27482709164420766,0.2601731212499241,0.2902149761716525,24
training_popularity,16,0.3274741359055042,0.31239334406952063,0.3424048316354553,24
previous_layer_routes,2,0.008081702651300779,0.007612179479716967,0.008524551585045023,24
previous_layer_routes,4,0.016323661742111046,0.015620606943654516,0.016988725811825135,24
previous_layer_routes,8,0.03278368207005163,0.03165763478803759,0.03385072275608157,24
previous_layer_routes,12,0.16475624094406763,0.15262254589082053,0.17616857060541707,24
previous_layer_routes,16,0.24270130321383476,0.22694939834376177,0.25662958786512413,24
learned,2,0.17620192281901836,0.16828441065736116,0.18361188389050462,24
learned,4,0.31275163156290847,0.29847141695208845,0.3266303636909773,24
learned,8,0.5092976825932661,0.4848167973570526,0.5322775399622818,24
learned,12,0.6157754187782606,0.5876969122638305,0.6403973456782599,24
learned,16,0.6777131160100301,0.650649533358713,0.7011716591194272,24
oracle,2,0.25,0.25,0.25,24
oracle,4,0.5,0.5,0.5,24
oracle,8,1.0,1.0,1.0,24
oracle,12,1.0,1.0,1.0,24
oracle,16,1.0,1.0,1.0,24
